identifier,RA,DEC,log_mu_HI_SDSS
2MASX_J09394584+0845033,144.94101,8.750937,-0.42821926
OGC_0441,149.362584,8.583831,-1.4002752
2MASX_J10222648+0911396,155.610362,9.194424,-0.86763436
2MASX_J10304263+0418219,157.677536,4.306011,-1.150723
2MFGC_8638,166.368483,7.611475,-1.109345
2dFGRS_TGN372Z095,170.834992,0.300817,-1.0205942
2MASX_J11483552+0325268,177.148008,3.424114,-1.1992924
2MASX_J11535621+4923562,178.48417,49.398803,-1.1413286
2dFGRS_TGN323Z033,190.606955,0.946881,-1.0201397
2dFGRS_TGN190Z184,194.859714,-1.7828099999999998,-0.76720333
2MFGC_10372,195.878158,-2.233453,-0.997975
OGC_1312,218.69942200000003,2.041302,-1.1345773
2MASX_J15154614+0235564,228.94229199999998,2.599017,-0.9746839
2MASX_J15404057-0009331,235.169027,-0.159342,-0.99301505
2MASX_J16014061+2718161,240.41923300000002,27.3045,-0.23862228
2MASX_J16184003+0034367,244.66686099999998,0.576851,-1.4013327
2MASX_J16394598+4609058,249.94162000000003,46.151627000000005,-1.2345338
Schulte_27,308.498031,41.29319,-0.71427053
2MASX_J20541957-0055204,313.581505,-0.9222360000000001,-0.50410306
2MASX_J21362206+0056519,324.091992,0.947701,-1.4881569
2MASX_J21384311-0052162,324.679754,-0.8711639999999999,-1.3724513
2MASX_J21431882-0820164,325.828429,-8.337906,-1.394345
2MASX_J22073122-0729223,331.880096,-7.489536,-0.9468397
2MASX_J23130513-0033477,348.271309,-0.563193,-0.81942403
